job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_range_time,pp_crab_range_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
nospec_mask,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,n/a,n/a,n/a,0.00
ptr_eq,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,n/a,n/a,n/a,0.00
add_size_checked,n/a,n/a,n/a,18,105,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.01,n/a,n/a,n/a,n/a,0.01,0.02
add_size_saturating,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,n/a,n/a,n/a,0.00
mul_size_checked,n/a,n/a,n/a,18,105,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.02,n/a,n/a,n/a,n/a,0.01,0.03
mul_size_saturating,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,n/a,n/a,n/a,0.00
is_power_of_two,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.01,n/a,n/a,n/a,n/a,n/a,n/a,0.00
round_up_to_power_of_two,n/a,n/a,n/a,14,69,n/a,n/a,n/a,n/a,0.01,n/a,n/a,0.01,0.02,n/a,n/a,n/a,n/a,0.01,0.02
array_list_clean_up,n/a,n/a,n/a,35,145,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.03,n/a,n/a,n/a,n/a,0.01,0.03
array_list_comparator_string,n/a,n/a,n/a,287,2119,22,33,4,13,0.11,0.02,0.01,0.07,0.19,n/a,n/a,n/a,n/a,0.03,0.22
array_list_copy,n/a,n/a,n/a,85,342,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.05,0.03,n/a,n/a,n/a,n/a,0.01,0.04
array_list_init_dynamic,n/a,n/a,n/a,46,189,n/a,n/a,n/a,n/a,0.00,0.00,n/a,0.03,0.02,n/a,n/a,n/a,n/a,0.01,0.02
array_list_pop_front,n/a,n/a,n/a,56,233,n/a,1,n/a,1,0.00,0.01,0.01,0.03,0.02,n/a,n/a,n/a,n/a,0.01,0.04
array_list_pop_front_n,n/a,n/a,n/a,62,257,n/a,1,n/a,1,0.01,0.01,0.01,0.03,0.03,n/a,n/a,n/a,n/a,0.00,0.04
array_list_push_front,n/a,n/a,n/a,95,407,n/a,1,n/a,1,0.01,0.01,0.01,0.10,0.03,n/a,n/a,n/a,n/a,0.01,0.04
array_list_swap,n/a,n/a,n/a,83,317,2,n/a,2,n/a,0.01,0.01,0.01,0.03,0.02,n/a,n/a,n/a,n/a,0.01,0.05
array_list_swap_contents,n/a,n/a,n/a,88,367,n/a,2,n/a,2,0.01,0.01,0.01,0.03,0.03,n/a,n/a,n/a,n/a,0.01,0.05
byte_buf_clean_up,n/a,n/a,n/a,28,125,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.01,n/a,n/a,n/a,n/a,0.00,0.02
byte_buf_clean_up_secure,n/a,n/a,n/a,28,128,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.02,0.02,n/a,n/a,n/a,n/a,0.01,0.03
byte_buf_from_array,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,n/a,n/a,n/a,n/a,n/a,n/a,0.00
byte_buf_from_c_str,n/a,n/a,n/a,59,424,9,3,9,3,0.01,0.01,0.01,0.02,0.02,n/a,n/a,n/a,n/a,0.01,0.03
byte_buf_from_empty_array,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,n/a,n/a,n/a,n/a,n/a,n/a,0.00
byte_buf_init,n/a,n/a,n/a,24,106,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.01,0.02,n/a,n/a,n/a,n/a,0.01,0.03
byte_buf_init_copy_from_cursor,n/a,n/a,n/a,26,110,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.03,0.03,n/a,n/a,n/a,n/a,0.01,0.04
byte_buf_reserve,n/a,n/a,n/a,50,210,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.04,0.03,n/a,n/a,n/a,n/a,0.01,0.04
byte_buf_reserve_relative,n/a,n/a,n/a,58,246,n/a,n/a,n/a,n/a,0.01,0.01,n/a,0.03,0.03,n/a,n/a,n/a,n/a,0.01,0.04
